City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Studio Workshop Url: SW
Bornheim,https://files.eversports.com/48526262-3f17-4fa7-b464-11bf46c27ef6/pole_partypng-small.webp,Star Poledance,rating,5 (14 Rezensionen),"['Fitness', 'Poledance', 'Ballett', 'Akrobatik', '+ 12']","Rudolf-Diesel-Straße 6 , 53919 Weilerswist",https://www.eversports.de/sw/star-poledance
Bottrop,https://files.eversports.com/8266b2aa-47aa-4afc-a0e6-53f71558a2c3/m8u_4943-1jpg-small.webp,aerialflow,rating,"4,8 (48 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', '+ 24']","Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/sw/aerialflow
Bottrop,https://files.eversports.com/b3f06722-6554-40c9-b466-fdaa125db09a/_22b2424jpg-small.webp,SECRET MOVES - Athletic Dance Studio,rating,"4,9 (66 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Barre-Training', '+ 9']","Gelsenkirchener Straße 37 , 46282 Dorsten",https://www.eversports.de/sw/secret-moves---athletic-dance-studio
Brandis,https://files.eversports.com/192deef2-7990-4e17-8bbb-30a588dfcb7a/43jpg-small.webp,Poledancestar,rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Turnen', 'Poledance', '+ 4']","Gabelsbergerstraße 1A , 04317 Leipzig",https://www.eversports.de/sw/poledancestar
Brandis,https://files.eversports.com/f7f5f01b-d32f-4282-9ba8-f01ff0d75d95/fa45a596-4583-4006-8455-345e914aaee0jpeg-small.webp,PoleFitness Leipzig,rating,"4,9 (10 Rezensionen)","['Fitness', 'Poledance', 'Stretching', 'Aerial Hoop', '+ 1']","Salomonstraße 18B , 04103 Leipzig",https://www.eversports.de/sw/polefitness-leipzig
Braunschweig,https://files.eversports.com/9d4469d0-cb02-446d-adb5-6e4384508941/studio1jpg-small.webp,T-Tanzstück Braunschweig,rating,"4,9 (33 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 16']","Berliner Straße 52 , 38104 Braunschweig",https://www.eversports.de/sw/t-tanzstück-braunschweig
Braunschweig,https://files.eversports.com/35eea91a-bd03-4e30-8139-9d8496b59a03/poleroomjpeg-2jpg-small.webp,PoleRoom Braunschweig,rating,"4,9 (37 Rezensionen)","['Fitness', 'Tanzen', 'Turnen', 'Poledance', '+ 14']","Büchnerstraße 10 , 38118 Braunschweig",https://www.eversports.de/sw/poleroom-braunschweig
Braunschweig,https://files.eversports.com/6e89875e-80ac-470b-868d-9cfee1e2c61e/20190419_151442jpg-small.webp,T-Tanzstück Wolfsburg,rating,"4,8 (18 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 10']","Borsigstraße 41, 38446 Wolfsburg",https://www.eversports.de/sw/t-tanzstück-wolfsburg
Bruchköbel,https://files.eversports.com/dee0e1aa-0ad2-4bd3-9b3e-39122c9974f6/xq9a2590ajpg-small.webp,Lift Off – Poledance Academy,rating,"4,9 (30 Rezensionen)","['Poledance', 'Mobility', 'Online Klasse']","Location (siehe Buchung) , 60314 Frankfurt am Main",https://www.eversports.de/sw/lift-off-–-poledance-academy
Brück,https://files.eversports.com/ab1a7da9-e1b3-4e72-8e82-f4ba0ed3b96a/whatsapp-image-2022-07-16-at-151328jpeg-small.webp,pure body concepts,rating,"4,8 (29 Rezensionen)","['Yoga', 'Hip Hop', 'Poledance', 'Kickboxen', '+ 16']","Zugspitzstr. 46a , 85591 Vaterstetten",https://www.eversports.de/sw/pure-body-concepts
Brühl,https://files.eversports.com/69b31525-d99a-4a80-bdcc-15baa897d0bb/642fca95-975a-4e5f-b0aa-6702b1752850jpeg-small.webp,Annaconda Pole & Fitness,rating,5 (29 Rezensionen),"['Fitness', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 8']","Venloer Straße 601-603, 50827 Köln",https://www.eversports.de/sw/annaconda-pole-&-fitness
Burgdorf,https://files.eversports.com/6e127c8c-2239-4faf-b266-42c016e205f6/pexels-yan-krukau-8613313jpg-small.webp,Yoga Vidya Burgdorf,rating,(Noch keine Bewertungen),"['Yoga', 'Theorieraum', 'Rückenfit', 'Gruppenangebote', '+ 84']","Marktstraße 65 , 31303 Burgdorf",https://www.eversports.de/sw/yoga-vidya-burgdorf
Burgwedel,https://files.eversports.com/5c9996c7-5ebd-4d58-8ab5-c7dd4868a552/6f280b72-5907-44f3-a169-e9da0b1ada59jpeg-small.webp,La Belle,rating,5 (22 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Ballett', '+ 12']","Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/sw/la-belle
Burgwedel,https://files.eversports.com/e9b9a7b7-d3d5-48da-811c-b60017115ae4/bildschirmfoto-2018-09-10-um-140430png-small.webp,Pole Dance Studio Passion Hannover,rating,"4,7 (13 Rezensionen)",['Poledance'],"Büttnerstraße 22 , 30165 Hannover",https://www.eversports.de/sw/pole-dance-studio-passion-hannover
Burscheid,https://files.eversports.com/463db4b8-85b0-4fbb-8477-bfa03324e2ae/17211914_745099798983333_6506084998826309716_ojpg-small.webp,Pole Paradise,rating,"4,9 (61 Rezensionen)","['Fitness', 'Gymnastik', 'Tanzen', 'Turnen', '+ 9']","Ravensburgerstraße 110-112, 50739 Köln",https://www.eversports.de/sw/pole-paradise
Burscheid,/static/media/icon-white.929e2590.svg,A heart for poledance,rating,"4,9 (15 Rezensionen)",['Poledance'],"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/sw/a-heart-for-poledance
Burscheid,https://files.eversports.com/df995aed-3365-4f88-9da9-4213ea64cafc/7ce51552-9fc1-458e-820e-d86ce90f25fdjpeg-small.webp,Dance & Pole Leverkusen,rating,5 (3 Rezensionen),['Poledance'],"Schillerstraße 6 , 51379 Leverkusen",https://www.eversports.de/sw/dance-&-pole-leverkusen
Burscheid,https://files.eversports.com/f6319580-c6a9-4ded-b91c-b318db7136e7/d14db420-e799-4f3c-8464-e7fec75ba07ejpeg-small.webp,Dance & Pole Langenfeld,rating,(Noch keine Bewertungen),"['Poledance', 'Stretching', 'Chairdance', 'Aerial Hoop', '+ 3']","Kölner Straße 16 , 40764 Langenfeld (Rheinland)",https://www.eversports.de/sw/dance-&-pole-langenfeld
Burscheid,https://files.eversports.com/5921e2b3-70f2-4391-8eb2-29275aaea740/2121166c-27d6-4dec-9087-260b53c7b43ajpg-small.webp,One8dance Studio,rating,5 (1 Rezension),"['Tanzen', 'Zumba', 'Hip Hop', 'Poledance', '+ 7']","Britanniahütte 10 , 51469 Bergisch Gladbach",https://www.eversports.de/sw/one8dance-studio
Burscheid,https://files.eversports.com/b08a5871-53b9-4d53-bd71-2774447d2036/polr-50jpg-small.webp,Poledance-Area,rating,"4,4 (1 Rezension)","['Poledance', 'Stretching', 'Floorwork', 'Lapdance', '+ 1']","Mandtstraße 2 , 42853 Remscheid",https://www.eversports.de/sw/poledance-area
Burscheid,https://files.eversports.com/d30460d2-e0e5-4f4f-ae52-546f430889ad/delta-umkleidejpg-small.webp,Dance & Pole Deltawerk,rating,(Noch keine Bewertungen),['Poledance'],"Gasstraße 10-18 , 42657 Solingen",https://www.eversports.de/sw/dance-&-pole-deltawerk
Bürstadt,https://files.eversports.com/0db99d38-69d4-40a9-8f26-a66645108783/miriams-web-4349jpg-small.webp,Pole and Move Mannheim,rating,"4,9 (43 Rezensionen)","['Fitness', 'Poledance', 'Raumvermietung', 'Power Pole', '+ 11']","Edisonstraße 20 , 68309 Mannheim",https://www.eversports.de/sw/pole-and-move-mannheim
Bürstadt,https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-small.webp,Pole and Move Online Studio,rating,"4,9 (28 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 6']","Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/sw/pole-and-move-online-studio
Buxtehude,https://files.eversports.com/48152c51-ac9d-44e8-947d-eb43b1006c48/_dsc0005_webjpg-small.webp,Nordpole,rating,"4,9 (106 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 2']","Mendelssohnstraße 15B , 22761 Hamburg",https://www.eversports.de/sw/nordpole
Castrop-rauxel,https://files.eversports.com/87abf1f1-e324-4cc0-b887-4581dfa917c2/img-20170725-wa00052225jpg-small.webp,körpernah,rating,5 (20 Rezensionen),"['Pilates', 'Yoga', 'Poledance', 'Acroyoga', '+ 8']","Ahsener Straße 130 , 45711 Datteln",https://www.eversports.de/sw/körpernah
Celle,https://files.eversports.com/de31e247-4449-494f-9960-814f69321f04/unadjustednonraw_thumb_5006jpg-small.webp,PoleathletiX,rating,"4,9 (29 Rezensionen)","['Pilates', 'Zumba', 'Poledance', 'Power Pole', '+ 5']","Industriestraße 10 , 29227 Celle",https://www.eversports.de/sw/poleathletix
Dachau,https://files.eversports.com/a994953f-18f3-4f37-9755-bbd487d4daa2/janine1jpg-small.webp,The Supergirl Studio,rating,"4,9 (96 Rezensionen)","['Poledance', 'Power Pole', 'Stretching', 'Aerial Silk', '+ 8']","Brunngartenstraße 5a , 85221 Dachau",https://www.eversports.de/sw/the-supergirl-studio
Dachau,https://files.eversports.com/f1142638-8b9d-4e28-b4f9-dd0783f24253/mpd_poledetail_2964jpg-small.webp,Munich Poledance,rating,"4,9 (74 Rezensionen)","['Yoga', 'Poledance', 'Personal Training', 'Power Pole', '+ 14']","Leonrodplatz 2, 80636 München",https://www.eversports.de/sw/munich-poledance
Dachau,https://files.eversports.com/a485078c-46f1-420d-9c67-91584892c189/juw2005-007-pole2-8951jpg-small.webp,Health & Shape München,rating,5 (18 Rezensionen),"['Fitness', 'Pilates', 'Tanzen', 'Turnen', '+ 37']","Milchstraße 4 , 81667 München",https://www.eversports.de/sw/health-&-shape-münchen
Darmstadt,https://files.eversports.com/eb559ada-b564-4055-9643-4eb299140399/dsc00776jpg-small.webp,Pole Faction - Pole Dance & Fitness,rating,"4,7 (15 Rezensionen)","['Poledance', 'Aerial Hoop', 'Polesport', 'Heels', '+ 4']","Heidelberger Landstrasse , 64297 Darmstadt",https://www.eversports.de/sw/pole-faction---pole-dance-&-fitness
Delmenhorst,https://files.eversports.com/50e0328f-0b23-4c41-bde0-9f57f0d50759/foto-311019-13-12-24-1jpg-small.webp,Stadtgazellen Bremen,rating,"4,9 (70 Rezensionen)","['Poledance', 'Aerial Yoga', 'Stretching', 'Aerial Silk', '+ 3']","Bremerhavener Straße 210 , 28217 Bremen",https://www.eversports.de/sw/stadtgazellen-bremen
Ditzingen,https://files.eversports.com/84293197-ba6b-4e7b-87cd-d48465de814f/colour_circlepng-small.webp,VerticalArts Pole & Aerial Fitness,rating,"4,8 (63 Rezensionen)","['Poledance', 'Aerial Yoga', 'Floorwork', 'Aerial Hoop', '+ 2']","Augustenstraße 21 , 70178 Stuttgart",https://www.eversports.de/sw/verticalarts-pole-&-aerial-fitness
Donzdorf,https://files.eversports.com/976141ce-0eb1-4588-b952-520526e0c124/_22b9264jpg-small.webp,Polemotions GP,rating,5 (22 Rezensionen),"['Tanzen', 'Poledance', 'Krafttraining', 'Stretching', '+ 5']","Im Pfingstwasen 1 , 73035 Göppingen",https://www.eversports.de/sw/polemotions-gp
Donzdorf,https://files.eversports.com/830c9f96-a68a-4da5-8cbc-e7a2f7641050/a0cc2761-5b6b-4f41-856c-1a809cba359djpeg-small.webp,Pole Acrobatics,rating,5 (32 Rezensionen),"['Poledance', 'Power Pole', 'Stretching', 'Handstand', '+ 4']","Geislinger Straße 2 , 73326 Deggingen",https://www.eversports.de/sw/pole-acrobatics
Dormagen,https://files.eversports.com/0c6cc306-d878-4025-98ee-1dff9b6060c3/dscf6104-2jpeg-small.webp,BodySoul Studio Düsseldorf,rating,"4,9 (10 Rezensionen)","['Fitness', 'Gymnastik', 'Yoga', 'Poledance', '+ 17']","Süllenstraße 30, 40599 Düsseldorf",https://www.eversports.de/sw/bodysoul-studio-düsseldorf
Dormagen,https://files.eversports.com/5a0544b7-0bbe-44fa-8bb0-7672ce1ecd8f/dsc06058jpg-small.webp,Pole Land,rating,"4,9 (57 Rezensionen)","['Poledance', 'Aerial Yoga', 'Akrobatik', 'Acroyoga', '+ 13']","Kölner Straße 336A , 40227 Düsseldorf",https://www.eversports.de/sw/pole-land
Drensteinfurt,https://files.eversports.com/3279e225-badb-4da9-a5d5-6e6eb535cd18/pole-dance-schwerelos-annajpg-small.webp,schwerelos Münster,rating,"4,8 (6 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 23']","Weseler Straße 675D , 48163 Münster",https://www.eversports.de/sw/schwerelos-münster
Duisburg,https://files.eversports.com/35e4f24f-327f-4302-8f10-fccde1e443db/14472012kl4-small.webp,Pole Dance Krefeld,rating,"4,9 (86 Rezensionen)","['Aerobic', 'Poledance', 'Zirkeltraining', 'Bodywork', '+ 8']","Hochfelder Straße 47, 47809 Krefeld",https://www.eversports.de/sw/pole-dance-krefeld
