City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L
Gronau,https://files.eversports.com/22e7d9d0-8dd2-42d6-9685-23324183cb55/poledance-classpng-small.webp,"4,9 (41 Rezensionen)",rating,"4,9 (41 Rezensionen)","['Fitness', 'Tanzen', 'Poledance']","Het Sander 43 , 7522 AL Enschede",https://www.eversports.de/l/poledance/Gronau
Gröningen,https://files.eversports.com/08b1616c-9871-46e9-8bc7-bb00631c314e/calipso-22april2022-29jpg-small.webp,"4,8 (34 Rezensionen)",rating,"4,8 (34 Rezensionen)","['Pilates', 'Poledance', 'Zirkeltraining', 'Barre-Training', '+ 13']","Timpweg 6 , 9731 AL Groningen",https://www.eversports.de/l/poledance/Gröningen
Groß-bieberau,https://files.eversports.com/eb559ada-b564-4055-9643-4eb299140399/dsc00776jpg-small.webp,"4,8 (18 Rezensionen)",rating,"4,8 (18 Rezensionen)","['Poledance', 'Aerial Hoop', 'Polesport', 'Heels', '+ 4']","Heidelberger Landstrasse, 64297 Darmstadt",https://www.eversports.de/l/poledance/Groß-Bieberau
Groß-bieberau,https://files.eversports.com/b8aaa043-16a2-4948-b545-0df8fc0332ed/img_1649jpg-small.webp,"4,9 (18 Rezensionen)",rating,"4,9 (18 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Hip Hop', '+ 6']","Fabrikstraße 21 , 64625 Bensheim",https://www.eversports.de/l/poledance/Groß-Bieberau
Großbottwar,https://files.eversports.com/163bcb6f-a5ac-42d1-889a-81850123c832/img_2959jpeg-small.webp,"4,9 (57 Rezensionen)",rating,"4,9 (57 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 5']","Solitudestraße 48 , 71638 Ludwigsburg",https://www.eversports.de/l/poledance/Großbottwar
Groß-gerau,https://files.eversports.com/eb559ada-b564-4055-9643-4eb299140399/dsc00776jpg-small.webp,"4,8 (18 Rezensionen)",rating,"4,8 (18 Rezensionen)","['Poledance', 'Aerial Hoop', 'Polesport', 'Heels', '+ 4']","Heidelberger Landstrasse, 64297 Darmstadt",https://www.eversports.de/l/poledance/Groß-Gerau
Groß-gerau,https://files.eversports.com/e49d7226-2e71-4b71-85bf-9fa0ebc08f33/img_3867jpg-small.webp,5 (1 Rezension),rating,5 (1 Rezension),"['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 2']","Schmalweg 50, 55252 Wiesbaden",https://www.eversports.de/l/poledance/Groß-Gerau
Groß-umstadt,https://files.eversports.com/6cf9e58c-cdde-4545-93da-95ff39860a90/lr0a2307a-signaturjpg-small.webp,"4,9 (25 Rezensionen)",rating,"4,9 (25 Rezensionen)","['Yoga', 'Poledance', 'Floorwork', 'Aerial Akrobatik', '+ 3']","Mühlstraße 100, 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Groß-Umstadt
Gundelsheim,https://files.eversports.com/1d5b3c05-5ab4-4d7f-bb92-5dd22aea60a4/unbenannt-2png-small.webp,"4,9 (13 Rezensionen)",rating,"4,9 (13 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Floorwork', '+ 4']","Saline 5 , 74177 Bad Friedrichshall",https://www.eversports.de/l/poledance/Gundelsheim
Haan,https://files.eversports.com/0c6cc306-d878-4025-98ee-1dff9b6060c3/dscf6104-2jpeg-small.webp,"4,9 (15 Rezensionen)",rating,"4,9 (15 Rezensionen)","['Fitness', 'Gymnastik', 'Yoga', 'Poledance', '+ 17']","Süllenstraße 30, 40599 Düsseldorf",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/5a0544b7-0bbe-44fa-8bb0-7672ce1ecd8f/dsc06058jpg-small.webp,"4,9 (58 Rezensionen)",rating,"4,9 (58 Rezensionen)","['Poledance', 'Aerial Yoga', 'Akrobatik', 'Acroyoga', '+ 13']","Kölner Straße 336A , 40227 Düsseldorf",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/df995aed-3365-4f88-9da9-4213ea64cafc/7ce51552-9fc1-458e-820e-d86ce90f25fdjpeg-small.webp,5 (3 Rezensionen),rating,5 (3 Rezensionen),['Poledance'],"Schillerstraße 6 , 51379 Leverkusen",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/1449d6c2-bb77-496b-b969-ef9e374cb3e9/4ad835f3-8588-4753-add3-68116c88b829jpeg-small.webp,(Noch keine Bewertungen),rating,(Noch keine Bewertungen),"['Poledance', 'Stretching', 'Chairdance', 'Aerial Hoop', '+ 3']","Kölner Straße 16 , 40764 Langenfeld (Rheinland)",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/b08a5871-53b9-4d53-bd71-2774447d2036/polr-50jpg-small.webp,"4,4 (1 Rezension)",rating,"4,4 (1 Rezension)","['Poledance', 'Stretching', 'Floorwork', 'Lapdance', '+ 1']","Mandtstraße 2 , 42853 Remscheid",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/d3384244-3326-46b6-856f-3785522d7c26/7ca2cb56-afcb-4b46-bfcd-9be3ff6907a3jpeg-small.webp,(Noch keine Bewertungen),rating,(Noch keine Bewertungen),"['Poledance', 'Stretching', 'Handstand', 'Chairdance', '+ 10']","Weyerstraße 4 , 42697 Solingen",https://www.eversports.de/l/poledance/Haan
Haan,https://files.eversports.com/b0bce89e-0a39-429d-b996-6173bcde1313/20220515144802_fr2_2643-ps_43jpg-small.webp,"4,9 (43 Rezensionen)",rating,"4,9 (43 Rezensionen)","['Tanzen', 'Hip Hop', 'Poledance', 'Aerial Yoga', '+ 38']","Rethelstraße 28 Hof, 40237 Düsseldorf",https://www.eversports.de/l/poledance/Haan
Hagenbach,https://files.eversports.com/4fc22a43-cee0-4061-a632-f7c9d5ee381b/unknown-1jpg-small.webp,5 (26 Rezensionen),rating,5 (26 Rezensionen),"['Tanzen', 'Poledance', 'Ballett', 'Stretching', '+ 3']","Hardtstraße 39a , 76185 Karlsruhe",https://www.eversports.de/l/poledance/Hagenbach
Hagenbach,https://files.eversports.com/750c712e-ffaa-4125-b8dd-565780c57bb7/f1db1509-4cf3-422a-8f84-5e29604c5115jpg-small.webp,5 (2 Rezensionen),rating,5 (2 Rezensionen),"['Poledance', 'Aerial Yoga', 'Akrobatik', 'Aerial Silk', '+ 10']","Honsellstraße 1A , 76185 Karlsruhe",https://www.eversports.de/l/poledance/Hagenbach
Halle,https://files.eversports.com/2d79726e-9264-42a7-b570-5dc1acd5b1d7/_b2a3268-small.webp,5 (40 Rezensionen),rating,5 (40 Rezensionen),"['Fitness', 'Poledance', 'Akrobatik', 'Acroyoga', '+ 17']","Leipziger Straße 36 , 06108 Halle",https://www.eversports.de/l/poledance/Halle
Halle,https://files.eversports.com/ba6d87a7-56e4-44d7-b6c8-111ed155eed1/img_5995-2jpg-small.webp,5 (25 Rezensionen),rating,5 (25 Rezensionen),"['Pilates', 'Poledance', 'Krafttraining', 'Stretching', '+ 6']","Edmund-von-Lippmann-Straße 9 , 06112 Halle (Saale)",https://www.eversports.de/l/poledance/Halle
Halle,https://files.eversports.com/2d79726e-9264-42a7-b570-5dc1acd5b1d7/_b2a3268-small.webp,5 (40 Rezensionen),rating,5 (40 Rezensionen),"['Fitness', 'Poledance', 'Akrobatik', 'Acroyoga', '+ 17']","Leipziger Straße 36 , 06108 Halle",https://www.eversports.de/l/poledance/Halle
Halle,https://files.eversports.com/ba6d87a7-56e4-44d7-b6c8-111ed155eed1/img_5995-2jpg-small.webp,5 (25 Rezensionen),rating,5 (25 Rezensionen),"['Pilates', 'Poledance', 'Krafttraining', 'Stretching', '+ 6']","Edmund-von-Lippmann-Straße 9 , 06112 Halle (Saale)",https://www.eversports.de/l/poledance/Halle
Hannover,https://files.eversports.com/e7553f28-546d-4658-a27b-c4872721e1f9/druck-17jpg-largejpeg-small.webp,"4,8 (14 Rezensionen)",rating,"4,8 (14 Rezensionen)",['Poledance'],"Büttnerstraße 22 , 30165 Hannover",https://www.eversports.de/l/poledance/Hannover
Hannover,https://files.eversports.com/6fc96064-8bcf-444a-a2d3-e3521b3206c5/_22b0405jpg-small.webp,5 (25 Rezensionen),rating,5 (25 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Ballett', '+ 12']","Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/l/poledance/Hannover
