City,Business Name,Image Source,Rating,Number of Reviews,Categories,Address,Eversports URL
Blaubeuren,Flow Academy,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ff78b646b-9eda-41ba-a4a1-7d95d66d757c%2Fschooting-pole-015jpeg-medium.webp&w=3840&q=75,5.0,2,['1 Angebot für Neukund:innen'],"Pfarrer-Weiß-Weg 16, 89077 Ulm",https://www.eversports.de/l/poledance/Blaubeuren
Blaustein,Flow Academy,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ff78b646b-9eda-41ba-a4a1-7d95d66d757c%2Fschooting-pole-015jpeg-medium.webp&w=3840&q=75,5.0,2,['1 Angebot für Neukund:innen'],"Pfarrer-Weiß-Weg 16, 89077 Ulm",https://www.eversports.de/l/poledance/Blaustein
Blieskastel,Pole Arts,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fe45849a1-27fa-435d-bed6-51b8d2a6f654%2F6ca22531-a7bb-498d-93f0-b70e2eb29454jpeg-medium.webp&w=3840&q=75,5.0,31,['4 Angebote für Neukund:innen'],"Bexbacher Straße 8 , 66540 Neunkirchen",https://www.eversports.de/l/poledance/Blieskastel
Blieskastel,Pole Werk by Nelly,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F427faae0-19ef-4c27-9d52-44cb08f72a38%2Fimg_5666jpg-medium.webp&w=3840&q=75,5.0,27,[],"Kleinottweilerstraße 75 , 66450 Bexbach",https://www.eversports.de/l/poledance/Blieskastel
Bobingen,Pole Plus,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ff8b9581d-04c2-40ef-95d8-5a121ec4b153%2Fpole_plus_basic_butterflyjpg-medium.webp&w=3840&q=75,4.9,5,['1 Angebot für Neukund:innen'],"Ulmer Straße 152 , 86156 Augsburg",https://www.eversports.de/l/poledance/Bobingen
Bobingen,Pole Circus A + K,/_next/image?url=%2Fimages%2Fplaceholder-image.webp&w=3840&q=75,5.0,21,[],"Rehmstraße , 86161 Augsburg",https://www.eversports.de/l/poledance/Bobingen
Bobingen,Polefly Academy,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F3fe56e2b-bd59-44bc-b551-5d6a5f6ab459%2Fteamjpg-medium.webp&w=3840&q=75,5.0,2,[],"Bürgermeister-Wegele-Straße 6A , 86167 Augsburg",https://www.eversports.de/l/poledance/Bobingen
Bochum,Polearize,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fbd664a60-43cd-4904-8913-1c61333bb3f4%2Fsabrinity_linapole170-2-largejpeg-medium.webp&w=3840&q=75,4.9,75,['3 Angebote für Neukund:innen'],"Rottstraße 6 , 44793 Bochum",https://www.eversports.de/l/poledance/Bochum
Bochum,Ramonas Tanzschmiede,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F218993ef-4938-462d-a8bf-e87030d4c154%2Framonas-tanzschmiede-tanzgala-18_06_2023-1985jpg-medium.webp&w=3840&q=75,5.0,11,[],"Ückendorfer Straße 121 , 45886 Gelsenkirchen",https://www.eversports.de/l/poledance/Bochum
Bochum,Da Becca Flow and Fit,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F423f4250-800d-4685-b334-3e4c9f49ed32%2Fc0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-medium.webp&w=3840&q=75,5.0,22,[],"Eickeler Markt 3A , 44651 Herne",https://www.eversports.de/l/poledance/Bochum
Bonn,Polestructions,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F18242dc3-f36f-4481-b3e8-46af81f3a64a%2Fdsc_1123jpg-medium.webp&w=3840&q=75,4.9,158,['1 Angebot für Neukund:innen'],"Auguststraße 8, 53229 Bonn",https://www.eversports.de/l/poledance/Bonn
Boppard,Polefamily-Koblenz,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fd18b8ba6-2a87-45d9-84b2-0a331bc8731e%2Fimage1jpeg-medium.webp&w=3840&q=75,5.0,20,[],"Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Boppard
Bornheim,Polestructions,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F18242dc3-f36f-4481-b3e8-46af81f3a64a%2Fdsc_1123jpg-medium.webp&w=3840&q=75,4.9,158,['1 Angebot für Neukund:innen'],"Auguststraße 8, 53229 Bonn",https://www.eversports.de/l/poledance/Bornheim
Bornheim,Star Poledance,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F48526262-3f17-4fa7-b464-11bf46c27ef6%2Fpole_partypng-medium.webp&w=3840&q=75,5.0,16,[],"Rudolf-Diesel-Straße 6 , 53919 Weilerswist",https://www.eversports.de/l/poledance/Bornheim
Bottrop,aerialflow,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F8266b2aa-47aa-4afc-a0e6-53f71558a2c3%2Fm8u_4943-1jpg-medium.webp&w=3840&q=75,4.8,49,['4 Angebote für Neukund:innen'],"Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/l/poledance/Bottrop
Bottrop,SECRET MOVES - Athletic Dance Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fb3f06722-6554-40c9-b466-fdaa125db09a%2F_22b2424jpg-medium.webp&w=3840&q=75,4.9,66,[],"Gelsenkirchener Straße 37 , 46282 Dorsten",https://www.eversports.de/l/poledance/Bottrop
