City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L,Eversports URL:S,DWO URL
Bietigheim-bissingen,https://files.eversports.com/69b0c380-e9d1-4a84-bdf8-17e9a7e00f54/img_0212jpg-small.webp,Aerial Loft,rating,"4,9 (51 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 5']","Bahnhofstraße 12 , 70806 Kornwestheim",https://www.eversports.de/l/poledance/Bietigheim-Bissingen,https://www.eversports.de/s/aerial-loft,https://www.eversports.de/dwo/poledance/Bietigheim-Bissingen
Blaubeuren,https://files.eversports.com/f78b646b-9eda-41ba-a4a1-7d95d66d757c/schooting-pole-015jpeg-small.webp,Flow Academy,rating,5 (2 Rezensionen),['Poledance'],"Pfarrer-Weiß-Weg 16, 89077 Ulm",https://www.eversports.de/l/poledance/Blaubeuren,https://www.eversports.de/s/flow-academy,https://www.eversports.de/dwo/poledance/Blaubeuren
Blaustein,https://files.eversports.com/f78b646b-9eda-41ba-a4a1-7d95d66d757c/schooting-pole-015jpeg-small.webp,Flow Academy,rating,5 (2 Rezensionen),['Poledance'],"Pfarrer-Weiß-Weg 16, 89077 Ulm",https://www.eversports.de/l/poledance/Blaustein,https://www.eversports.de/s/flow-academy,https://www.eversports.de/dwo/poledance/Blaustein
Blieskastel,https://files.eversports.com/e45849a1-27fa-435d-bed6-51b8d2a6f654/6ca22531-a7bb-498d-93f0-b70e2eb29454jpeg-small.webp,Pole Arts,rating,5 (29 Rezensionen),"['Poledance', 'Stretching', 'Heels', 'Twerken', '+ 1']","Bexbacher Straße 8 , 66540 Neunkirchen",https://www.eversports.de/l/poledance/Blieskastel,https://www.eversports.de/s/pole-arts,https://www.eversports.de/dwo/poledance/Blieskastel
Bobingen,https://files.eversports.com/f8b9581d-04c2-40ef-95d8-5a121ec4b153/pole_plus_basic_butterflyjpg-small.webp,Pole Plus,rating,"4,9 (5 Rezensionen)","['Poledance', 'Stretching', 'Online Klasse']","Ulmer Straße 152 , 86156 Augsburg",https://www.eversports.de/l/poledance/Bobingen,https://www.eversports.de/s/pole-plus,https://www.eversports.de/dwo/poledance/Bobingen
Bochum,https://files.eversports.com/0c94db94-ebfc-4633-97dd-3af834b736ea/linab-web-3jpg-small.webp,Polearize,rating,"4,9 (74 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Bootcamp', '+ 4']","Rottstraße 6 , 44793 Bochum",https://www.eversports.de/l/poledance/Bochum,https://www.eversports.de/s/polearize,https://www.eversports.de/dwo/poledance/Bochum
Bonn,https://files.eversports.com/18242dc3-f36f-4481-b3e8-46af81f3a64a/dsc_1123jpg-small.webp,Polestructions,rating,"4,9 (154 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Funsport', '+ 14']","Auguststraße 8, 53229 Bonn",https://www.eversports.de/l/poledance/Bonn,https://www.eversports.de/s/polestructions,https://www.eversports.de/dwo/poledance/Bonn
Boppard,https://files.eversports.com/d18b8ba6-2a87-45d9-84b2-0a331bc8731e/image1jpeg-small.webp,Polefamily-Koblenz,rating,5 (20 Rezensionen),"['Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 4']","Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Boppard,https://www.eversports.de/s/polefamily-koblenz,https://www.eversports.de/dwo/poledance/Boppard
Bornheim,https://files.eversports.com/18242dc3-f36f-4481-b3e8-46af81f3a64a/dsc_1123jpg-small.webp,Polestructions,rating,"4,9 (154 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Funsport', '+ 14']","Auguststraße 8, 53229 Bonn",https://www.eversports.de/l/poledance/Bornheim,https://www.eversports.de/s/polestructions,https://www.eversports.de/dwo/poledance/Bornheim
Bottrop,https://files.eversports.com/8266b2aa-47aa-4afc-a0e6-53f71558a2c3/m8u_4943-1jpg-small.webp,aerialflow,rating,"4,8 (48 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', '+ 24']","Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/l/poledance/Bottrop,https://www.eversports.de/s/aerialflow,https://www.eversports.de/dwo/poledance/Bottrop
Brandis,https://files.eversports.com/192deef2-7990-4e17-8bbb-30a588dfcb7a/43jpg-small.webp,Poledancestar,rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Turnen', 'Poledance', '+ 4']","Gabelsbergerstraße 1A , 04317 Leipzig",https://www.eversports.de/l/poledance/Brandis,https://www.eversports.de/s/poledancestar,https://www.eversports.de/dwo/poledance/Brandis
Braubach,https://files.eversports.com/d18b8ba6-2a87-45d9-84b2-0a331bc8731e/image1jpeg-small.webp,Polefamily-Koblenz,rating,5 (20 Rezensionen),"['Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 4']","Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Braubach,https://www.eversports.de/s/polefamily-koblenz,https://www.eversports.de/dwo/poledance/Braubach
Braunschweig,https://files.eversports.com/9d4469d0-cb02-446d-adb5-6e4384508941/studio1jpg-small.webp,T-Tanzstück Braunschweig,rating,"4,9 (33 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 16']","Berliner Straße 52 , 38104 Braunschweig",https://www.eversports.de/l/poledance/Braunschweig,https://www.eversports.de/s/t-tanzstueck-braunschweig,https://www.eversports.de/dwo/poledance/Braunschweig
Bruchköbel,https://files.eversports.com/dee0e1aa-0ad2-4bd3-9b3e-39122c9974f6/xq9a2590ajpg-small.webp,Lift Off – Poledance Academy,rating,"4,9 (30 Rezensionen)","['Poledance', 'Mobility', 'Online Klasse']","Location (siehe Buchung) , 60314 Frankfurt am Main",https://www.eversports.de/l/poledance/Bruchköbel,https://www.eversports.de/s/lift-off-poledance-academy,https://www.eversports.de/dwo/poledance/Bruchköbel
Brück,https://files.eversports.com/ab1a7da9-e1b3-4e72-8e82-f4ba0ed3b96a/whatsapp-image-2022-07-16-at-151328jpeg-small.webp,pure body concepts,rating,"4,8 (30 Rezensionen)","['Yoga', 'Hip Hop', 'Poledance', 'Kickboxen', '+ 16']","Zugspitzstr. 46a , 85591 Vaterstetten",https://www.eversports.de/l/poledance/Brück,https://www.eversports.de/s/pure-body-concepts-1,https://www.eversports.de/dwo/poledance/Brück
Brühl,https://files.eversports.com/48526262-3f17-4fa7-b464-11bf46c27ef6/pole_partypng-small.webp,Star Poledance,rating,5 (14 Rezensionen),"['Fitness', 'Poledance', 'Ballett', 'Akrobatik', '+ 12']","Rudolf-Diesel-Straße 6 , 53919 Weilerswist",https://www.eversports.de/l/poledance/Brühl,https://www.eversports.de/s/star-poledance,https://www.eversports.de/dwo/poledance/Brühl
Bühl,https://files.eversports.com/0fe3af8e-230c-4d18-a416-fd2ed85e1a01/photo_2023-03-17_22-12-16-2jpg-small.webp,Körperformfabrik GbR,rating,"4,9 (3 Rezensionen)","['Poledance', 'TRX®', 'TRX® Yoga', 'TRX® Suspension Training', '+ 1']","Hauptstraße 108 , 77855 Achern",https://www.eversports.de/l/poledance/Bühl,https://www.eversports.de/s/koerperformfabrik-gbr,https://www.eversports.de/dwo/poledance/Bühl
Burgdorf,https://files.eversports.com/6e127c8c-2239-4faf-b266-42c016e205f6/pexels-yan-krukau-8613313jpg-small.webp,Yoga Vidya Burgdorf,rating,(Noch keine Bewertungen),"['Yoga', 'Theorieraum', 'Rückenfit', 'Gruppenangebote', '+ 84']","Marktstraße 65 , 31303 Burgdorf",https://www.eversports.de/l/poledance/Burgdorf,https://www.eversports.de/s/yoga-vidya-burgdorf,https://www.eversports.de/dwo/poledance/Burgdorf
Burghausen,https://files.eversports.com/e985ab77-98b5-45ee-b45d-ddaf724c9f2c/infinity-polesports-raumpng-small.webp,Infinity Polesports,rating,5 (29 Rezensionen),['Poledance'],"Martin-Ofner-Straße, 84508 Burgkirchen an der Alz",https://www.eversports.de/l/poledance/Burghausen,https://www.eversports.de/s/infinity-polesports,https://www.eversports.de/dwo/poledance/Burghausen
Burgwedel,https://files.eversports.com/5c9996c7-5ebd-4d58-8ab5-c7dd4868a552/6f280b72-5907-44f3-a169-e9da0b1ada59jpeg-small.webp,La Belle,rating,5 (23 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Ballett', '+ 12']","Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/l/poledance/Burgwedel,https://www.eversports.de/s/la-belle,https://www.eversports.de/dwo/poledance/Burgwedel
Burscheid,https://files.eversports.com/463db4b8-85b0-4fbb-8477-bfa03324e2ae/17211914_745099798983333_6506084998826309716_ojpg-small.webp,Pole Paradise,rating,"4,9 (61 Rezensionen)","['Fitness', 'Gymnastik', 'Tanzen', 'Turnen', '+ 9']","Ravensburgerstraße 110-112, 50739 Köln",https://www.eversports.de/l/poledance/Burscheid,https://www.eversports.de/s/pole-paradise,https://www.eversports.de/dwo/poledance/Burscheid
Bürstadt,https://files.eversports.com/0db99d38-69d4-40a9-8f26-a66645108783/miriams-web-4349jpg-small.webp,Pole and Move Mannheim,rating,"4,9 (43 Rezensionen)","['Fitness', 'Poledance', 'Raumvermietung', 'Power Pole', '+ 11']","Edisonstraße 20 , 68309 Mannheim",https://www.eversports.de/l/poledance/Bürstadt,https://www.eversports.de/s/pole-and-move-mannheim,https://www.eversports.de/dwo/poledance/Bürstadt
Buxtehude,https://files.eversports.com/48152c51-ac9d-44e8-947d-eb43b1006c48/_dsc0005_webjpg-small.webp,Nordpole,rating,"4,9 (106 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 2']","Mendelssohnstraße 15B , 22761 Hamburg",https://www.eversports.de/l/poledance/Buxtehude,https://www.eversports.de/s/nordpole,https://www.eversports.de/dwo/poledance/Buxtehude
Calw,/static/media/icon-white.929e2590.svg,ST Polestudio,rating,"4,7 (11 Rezensionen)",['Poledance'],"Walkmühleweg 47, 75365 Calw",https://www.eversports.de/l/poledance/Calw,https://www.eversports.de/s/st-polestudio,https://www.eversports.de/dwo/poledance/Calw
Castrop-rauxel,https://files.eversports.com/0c94db94-ebfc-4633-97dd-3af834b736ea/linab-web-3jpg-small.webp,Polearize,rating,"4,9 (74 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Bootcamp', '+ 4']","Rottstraße 6 , 44793 Bochum",https://www.eversports.de/l/poledance/Castrop-Rauxel,https://www.eversports.de/s/polearize,https://www.eversports.de/dwo/poledance/Castrop-Rauxel
Celle,https://files.eversports.com/de31e247-4449-494f-9960-814f69321f04/unadjustednonraw_thumb_5006jpg-small.webp,PoleathletiX,rating,"4,9 (29 Rezensionen)","['Pilates', 'Zumba', 'Poledance', 'Power Pole', '+ 5']","Industriestraße 10 , 29227 Celle",https://www.eversports.de/l/poledance/Celle,https://www.eversports.de/s/poleathletix,https://www.eversports.de/dwo/poledance/Celle
